rank,dma,households,us_percent
151,Johnstown-Altoona-St Colge,"4,920",0.033
152,Harrisonburg,"4,810",0.032
153,Lima,"4,800",0.032
154,Palm Springs,"4,750",0.032
155,SantaBarbra-SanMar-SanLuOb,"4,700",0.031
156,Utica,"4,610",0.031
157,Binghamton,"4,550",0.030
158,Fargo-Valley City,"4,290",0.029
159,Yakima-Pasco-Rchlnd-Knnwck,"3,730",0.025
160,Wheeling-Steubenville,"3,660",0.024
161,"Lafayette, IN","3,520",0.023
162,Rochestr-Mason City-Austin,"3,450",0.023
163,Burlington-Plattsburgh,"3,310",0.022
164,Harlingen-Wslco-Brnsvl-McA,"3,130",0.021
165,Watertown,"2,990",0.020
166,Boise,"2,900",0.019
167,Minot-Bsmrck-Dcknsn(Wlstn),"2,730",0.018
168,Quincy-Hannibal-Keokuk,"2,700",0.018
169,Chico-Redding,"2,690",0.018
170,Yuma-El Centro,"2,660",0.018
170,Terre Haute,"2,660",0.018
172,Eugene,"2,650",0.018
173,Joplin-Pittsburg,"2,620",0.017
174,Elmira (Corning),"2,480",0.017
175,Traverse City-Cadillac,"2,400",0.016
176,Sioux City,"2,250",0.015
177,Fairbanks,"2,240",0.015
178,Victoria,"2,180",0.015
179,Rapid City,"2,140",0.014
180,San Angelo,"2,080",0.014
181,Cheyenne-Scottsbluff,"1,880",0.013
182,Clarksburg-Weston,"1,870",0.012
183,St. Joseph,"1,780",0.012
184,La Crosse-Eau Claire,"1,670",0.011
185,Duluth-Superior,"1,660",0.011
186,Medford-Klamath Falls,"1,640",0.011
187,Zanesville,1490,0.010
188,Casper-Riverton,1400,0.009
189,Billings,1200,0.008
190,Idaho Fals-Pocatllo(Jcksn),1110,0.007
191,Wausau-Rhinelander,940,0.006
192,Bangor,910,0.006
193,Eureka,900,0.006
194,Great Falls,840,0.006
194,Mankato,840,0.006
194,Parkersburg,840,0.006
197,Missoula,820,0.005
198,Ottumwa-Kirksville,640,0.004
198,Marquette,640,0.004
200,Grand Junction-Montrose,560,0.004
200,Laredo,560,0.004
202,Juneau,530,0.004
203,"Bend, OR",370,0.002
203,Twin Falls,370,0.002
205,Butte-Bozeman,360,0.002
206,North Platte,190,0.001
207,Helena,180,0.001
207,Presque Isle,180,0.001
209,Alpena,90,0.001
