pageid,page_dim,text,object_type,height,width,x0,x1,y0,y1
1,2550x3300,ice,word,19,41,2326,2367,2537,2556
1,2550x3300,Suite,word,30,90,337,427,2477,2507
1,2550x3300,250,word,28,58,441,499,2477,2505
1,2550x3300,WFLX,word,26,98,1651,1749,2484,2510
1,2550x3300,Matthew,word,25,123,1869,1992,2486,2511
1,2550x3300,Norten,word,25,95,2002,2097,2486,2511
1,2550x3300,HRP-Washingt-,word,33,231,2191,2422,2480,2513
1,2550x3300,Townson.,word,33,173,337,510,2429,2462
1,2550x3300,MD,word,29,55,525,580,2433,2462
1,2550x3300,21204,word,29,103,603,706,2433,2462
1,2550x3300,Special,word,31,108,1653,1761,2426,2457
1,2550x3300,Handling,word,31,128,1774,1902,2426,2457
1,2550x3300,Demographic,word,32,199,1653,1852,2322,2354
1,2550x3300,Advertiser,word,26,150,2026,2176,2019,2045
1,2550x3300,Ref,word,26,51,2187,2238,2019,2045
1,2550x3300,StarUEnd,word,29,154,942,1096,1884,1913
1,2550x3300,Spots!,word,36,106,1512,1618,1877,1913
1,2550x3300,*Line,word,28,88,45,133,1838,1866
1,2550x3300,Ch,word,28,45,172,217,1838,1866
1,2550x3300,Start,word,28,78,252,330,1838,1866
1,2550x3300,Date,word,28,75,343,418,1838,1866
1,2550x3300,End,word,28,63,430,493,1838,1866
1,2550x3300,Date,word,28,76,507,583,1838,1866
1,2550x3300,Description,word,36,186,607,793,1830,1866
1,2550x3300,Time,word,29,83,940,1023,1842,1871
1,2550x3300,Days,word,36,81,1234,1315,1830,1866
1,2550x3300,Length,word,36,109,1380,1489,1830,1866
1,2550x3300,Week,word,28,98,1510,1608,1838,1866
1,2550x3300,Rate,word,28,78,1693,1771,1838,1866
1,2550x3300,PCode,word,28,112,1791,1903,1838,1866
1,2550x3300,Rtn,word,28,54,1915,1969,1838,1866
1,2550x3300,TypeSpots,word,38,180,1993,2173,1830,1868
1,2550x3300,Amount,word,29,129,2280,2409,1839,1868
1,2550x3300, ,word,18,131,2173,2304,1811,1829
1,2550x3300, ,word,2,14,2417,2431,1829,1831
1,2550x3300, ,word,26,1274,1030,2304,1785,1811
1,2550x3300, ,word,13,749,1433,2182,1772,1785
1,2550x3300, ,word,7,441,793,1234,1824,1831
1,2550x3300, ,word,13,663,1030,1693,1811,1824
1,2550x3300, ,word,59,11,34,45,1772,1831
1,2550x3300, ,word,3,18,2066,2084,1769,1772
1,2550x3300, ,word,57,10,2421,2431,1772,1829
1,2550x3300, ,word,48,18,2066,2084,1721,1769
1,2550x3300, ,word,27,868,1216,2084,1694,1721
1,2550x3300, ,word,19,65,1315,1380,1812,1831
1,2550x3300, ,word,19,85,1608,1693,1812,1831
1,2550x3300, ,word,40,42,57,99,1772,1812
1,2550x3300, ,word,40,39,108,147,1772,1812
1,2550x3300, ,word,32,1068,30,1098,1689,1721
1,2550x3300,$230.00,word,30,117,2304,2421,1784,1814
1,2550x3300,N,word,26,20,37,57,1785,1811
1,2550x3300,1,word,26,9,99,108,1785,1811
1,2550x3300,WFLX,word,26,94,147,241,1785,1811
1,2550x3300,02121116,word,26,127,258,385,1785,1811
1,2550x3300,02121116,word,26,127,432,559,1785,1811
1,2550x3300,FOX,word,26,66,607,673,1785,1811
1,2550x3300,NEWS,word,26,98,685,783,1785,1811
1,2550x3300,SUNDAYS-10A,word,26,234,796,1030,1785,1811
1,2550x3300,Start,word,27,69,177,246,1743,1770
1,2550x3300,Date,word,26,67,258,325,1743,1769
1,2550x3300,End,word,24,56,373,429,1745,1769
1,2550x3300,Date,word,24,68,442,510,1745,1769
1,2550x3300,Weekdays,word,32,156,561,717,1737,1769
1,2550x3300,Sgotler'eek,word,31,180,813,993,1739,1770
1,2550x3300,Rate,word,25,67,1149,1216,1745,1770
1,2550x3300,Week:,word,25,94,66,160,1706,1731
1,2550x3300,02115116,word,27,127,177,304,1706,1733
1,2550x3300,02121116,word,27,126,373,499,1706,1733
1,2550x3300,——————,word,5,114,564,678,1716,1721
1,2550x3300,1,word,26,9,897,906,1707,1733
1,2550x3300,$230.00,word,30,118,1098,1216,1704,1734
1,2550x3300, ,word,28,69,304,373,1693,1721
1,2550x3300, ,word,28,599,499,1098,1693,1721
1,2550x3300, ,word,5,868,1216,2084,1689,1694
1,2550x3300, ,word,18,2397,30,2427,1671,1689
1,2550x3300, ,word,24,1514,37,1551,1500,1524
1,2550x3300, ,word,24,1516,33,1549,1434,1458
1,2550x3300,Tota|s,word,31,111,1350,1461,1634,1665
1,2550x3300,1,word,24,9,2149,2158,1643,1667
1,2550x3300,$230.00,word,30,117,2304,2421,1640,1670
1,2550x3300,Time,word,28,83,34,117,1532,1560
1,2550x3300,Period,word,28,103,132,235,1532,1560
1,2550x3300,#,word,28,21,448,469,1532,1560
1,2550x3300,of,word,28,33,481,514,1532,1560
1,2550x3300,Spots,word,36,93,523,616,1524,1560
1,2550x3300,Gross,word,28,98,682,780,1532,1560
1,2550x3300,Amount,word,28,131,790,921,1532,1560
1,2550x3300,Agency,word,36,126,982,1108,1524,1560
1,2550x3300,Comm.,word,28,117,1120,1237,1532,1560
1,2550x3300,Net,word,28,55,1353,1408,1532,1560
1,2550x3300,Amount,word,28,129,1419,1548,1532,1560
1,2550x3300,02101116,word,30,145,36,181,1464,1494
1,2550x3300,-02121116,word,28,160,213,373,1466,1494
1,2550x3300,1,word,28,10,600,610,1466,1494
1,2550x3300,$230.00,word,35,135,784,919,1461,1496
1,2550x3300,($34.50),word,38,138,1099,1237,1458,1496
1,2550x3300,$195.50,word,35,132,1416,1548,1461,1496
1,2550x3300,Totals,word,28,102,34,136,1403,1431
1,2550x3300,1,word,28,10,600,610,1403,1431
1,2550x3300,$230.00,word,33,135,784,919,1400,1433
1,2550x3300,($34.50),word,38,137,1099,1236,1395,1433
1,2550x3300,$195.50,word,33,132,1416,1548,1400,1433
1,2550x3300,Signature:,word,41,201,37,238,1179,1220
1,2550x3300,Date:,word,32,98,1234,1332,1188,1220
1,2550x3300,(*,word,33,23,814,837,351,384
1,2550x3300,Line,word,25,60,849,909,359,384
1,2550x3300,Transactions:,word,25,198,919,1117,359,384
1,2550x3300,N,word,25,21,1141,1162,359,384
1,2550x3300,=,word,11,17,1174,1191,366,377
1,2550x3300,New.,word,30,71,1204,1275,354,384
1,2550x3300,E,word,25,20,1288,1308,359,384
1,2550x3300,=,word,12,16,1320,1336,366,378
1,2550x3300,Edited.,word,30,97,1350,1447,354,384
1,2550x3300,D,word,24,21,1462,1483,360,384
1,2550x3300,=,word,12,18,1494,1512,366,378
1,2550x3300,Deleted),word,31,121,1524,1645,353,384
1,2550x3300,Notwithstanding,word,24,177,42,219,323,347
1,2550x3300,to,word,18,21,226,247,327,345
1,2550x3300,whom,word,20,64,255,319,327,347
1,2550x3300,bills,word,20,43,327,370,327,347
1,2550x3300,are,word,15,36,378,414,327,342
1,2550x3300,rendered.,word,23,105,421,526,324,347
1,2550x3300,advertiser.,word,23,116,535,651,324,347
1,2550x3300,agency,word,19,81,660,741,323,342
1,2550x3300,and,word,18,41,748,789,329,347
1,2550x3300,"service,",word,23,84,798,882,324,347
1,2550x3300,jointly,word,24,65,889,954,323,347
1,2550x3300,and,word,19,40,963,1003,329,348
1,2550x3300,severally.,word,24,105,1011,1116,324,348
1,2550x3300,shall,word,19,50,1126,1176,329,348
1,2550x3300,remain,word,19,75,1185,1260,329,348
1,2550x3300,obligated,word,24,100,1269,1369,324,348
1,2550x3300,to,word,18,21,1377,1398,329,347
1,2550x3300,pay,word,20,39,1405,1444,324,344
1,2550x3300,to,word,19,21,1452,1473,329,348
1,2550x3300,station,word,19,72,1480,1552,329,348
1,2550x3300,the,word,19,34,1560,1594,329,348
1,2550x3300,amount,word,19,81,1603,1684,329,348
1,2550x3300,of,word,18,22,1692,1714,330,348
1,2550x3300,any,word,20,39,1722,1761,324,344
1,2550x3300,bills,word,18,42,1770,1812,330,348
1,2550x3300,rendered,word,19,99,1821,1920,329,348
1,2550x3300,by,word,24,25,1929,1954,324,348
1,2550x3300,station,word,20,72,1962,2034,330,350
1,2550x3300,within,word,20,63,2041,2104,330,350
1,2550x3300,the,word,20,34,2112,2146,330,350
1,2550x3300,time,word,20,45,2154,2199,330,350
1,2550x3300,specified,word,24,97,2208,2305,326,350
1,2550x3300,and,word,18,39,2313,2352,332,350
1,2550x3300,until,word,19,45,2361,2406,332,351
1,2550x3300,payment,word,22,94,75,169,293,315
1,2550x3300,in,word,20,17,178,195,297,317
1,2550x3300,full,word,20,33,202,235,297,317
1,2550x3300,is,word,18,17,244,261,299,317
1,2550x3300,received,word,20,93,270,363,297,317
1,2550x3300,by,word,24,24,372,396,293,317
1,2550x3300,station.,word,21,80,403,483,297,318
1,2550x3300,Payment,word,24,96,499,595,293,317
1,2550x3300,by,word,24,26,604,630,294,318
1,2550x3300,advertiser,word,19,111,637,748,299,318
1,2550x3300,to,word,18,21,754,775,299,317
1,2550x3300,agency,word,20,79,783,862,294,314
1,2550x3300,or,word,15,22,870,892,299,314
1,2550x3300,to,word,18,19,900,919,299,317
1,2550x3300,service,word,19,78,928,1006,299,318
1,2550x3300,or,word,14,22,1014,1036,300,314
1,2550x3300,payment,word,24,96,1044,1140,294,318
1,2550x3300,by,word,24,26,1147,1173,294,318
1,2550x3300,agency,word,20,81,1180,1261,294,314
1,2550x3300,to,word,18,21,1267,1288,300,318
1,2550x3300,senlice.,word,24,84,1296,1380,296,320
1,2550x3300,shall,word,20,51,1389,1440,300,320
1,2550x3300,not,word,18,33,1449,1482,300,318
1,2550x3300,constitute,word,20,107,1489,1596,300,320
1,2550x3300,payment,word,22,94,1605,1699,296,318
1,2550x3300,to,word,18,19,1707,1726,300,318
1,2550x3300,station.,word,20,80,1735,1815,300,320
1,2550x3300,Station,word,20,77,1831,1908,300,320
1,2550x3300,will,word,20,35,1915,1950,300,320
1,2550x3300,not,word,20,34,1959,1993,300,320
1,2550x3300,be,word,18,25,2001,2026,302,320
1,2550x3300,bound,word,19,68,2035,2103,302,321
1,2550x3300,by,word,24,26,2110,2136,297,321
1,2550x3300,conditions.,word,22,117,2143,2260,299,321
1,2550x3300,printed,word,24,73,2271,2344,297,321
1,2550x3300,or,word,15,22,2352,2374,302,317
1,2550x3300,"otherwise,",word,22,111,459,570,266,288
1,2550x3300,on,word,15,27,579,606,269,284
1,2550x3300,contracts.,word,22,107,613,720,266,288
1,2550x3300,insertion,word,21,95,730,825,269,290
1,2550x3300,orders.,word,22,75,832,907,266,288
1,2550x3300,copy,word,20,52,918,970,264,284
1,2550x3300,instructions,word,20,126,978,1104,270,290
1,2550x3300,or,word,15,22,1113,1135,270,285
1,2550x3300,any,word,19,39,1143,1182,266,285
1,2550x3300,correspondence,word,24,180,1189,1369,266,290
1,2550x3300,when,word,20,59,1375,1434,270,290
1,2550x3300,such,word,20,51,1443,1494,270,290
1,2550x3300,conflict,word,20,78,1501,1579,270,290
1,2550x3300,with,word,18,45,1585,1630,272,290
1,2550x3300,the,word,18,34,1638,1672,272,290
1,2550x3300,above,word,19,68,1681,1749,272,291
1,2550x3300,terms,word,18,62,1756,1818,272,290
1,2550x3300,and,word,18,40,1827,1867,272,290
1,2550x3300,conditions.,word,19,117,1875,1992,272,291
1,2550x3300,The,word,20,44,46,90,210,230
1,2550x3300,station,word,20,73,99,172,210,230
1,2550x3300,may,word,19,46,180,226,206,225
1,2550x3300,utilize,word,20,63,234,297,210,230
1,2550x3300,various,word,20,81,304,385,210,230
1,2550x3300,mediums,word,20,99,393,492,210,230
1,2550x3300,to,word,18,21,499,520,210,228
1,2550x3300,deliver,word,20,75,528,603,210,230
1,2550x3300,advertisements,word,20,169,609,778,210,230
1,2550x3300,to,word,18,21,786,807,212,230
1,2550x3300,its,word,19,24,814,838,212,231
1,2550x3300,"viewers,",word,24,90,846,936,207,231
1,2550x3300,including,word,24,98,946,1044,207,231
1,2550x3300,but,word,19,34,1053,1087,212,231
1,2550x3300,not,word,18,34,1095,1129,212,230
1,2550x3300,limited,word,19,71,1138,1209,212,231
1,2550x3300,to.,word,22,26,1216,1242,209,231
1,2550x3300,simulcast,word,19,104,1252,1356,212,231
1,2550x3300,andfor,word,18,71,1363,1434,213,231
1,2550x3300,delayed,word,26,87,1440,1527,207,233
1,2550x3300,airings,word,24,74,1534,1608,209,233
1,2550x3300,through,word,24,86,1615,1701,209,233
1,2550x3300,mobile,word,20,73,1710,1783,213,233
1,2550x3300,and,word,20,40,1791,1831,213,233
1,2550x3300,intemet,word,20,84,1840,1924,213,233
1,2550x3300,applications,word,24,130,1932,2062,209,233
1,2550x3300,and,word,19,40,2070,2110,215,234
1,2550x3300,services.,word,19,95,2119,2214,215,234
1,2550x3300,You,word,19,44,2230,2274,215,234
1,2550x3300,must,word,18,51,2283,2334,215,233
1,2550x3300,notify,word,24,60,2341,2401,210,234
1,2550x3300,the,word,18,35,52,87,182,200
1,2550x3300,station,word,20,73,96,169,180,200
1,2550x3300,immediately,word,24,131,178,309,176,200
1,2550x3300,if,word,20,12,318,330,180,200
1,2550x3300,you,word,19,39,336,375,176,195
1,2550x3300,do,word,18,27,384,411,182,200
1,2550x3300,not,word,18,35,418,453,182,200
1,2550x3300,have,word,19,53,460,513,182,201
1,2550x3300,rights,word,24,60,522,582,177,201
1,2550x3300,to,word,18,21,589,610,182,200
1,2550x3300,your,word,20,49,618,667,177,197
1,2550x3300,advertisements,word,19,168,675,843,182,201
1,2550x3300,or,word,15,23,850,873,182,197
1,2550x3300,any,word,20,39,880,919,177,197
1,2550x3300,of,word,19,21,927,948,182,201
1,2550x3300,its,word,19,24,955,979,182,201
1,2550x3300,components,word,24,135,988,1123,177,201
1,2550x3300,beyond,word,26,81,1131,1212,177,203
1,2550x3300,a,word,15,12,1221,1233,183,198
1,2550x3300,television,word,20,105,1240,1345,183,203
1,2550x3300,broadcast.,word,20,113,1354,1467,183,203
1,2550x3300,Without,word,20,86,1483,1569,183,203
1,2550x3300,sud:,word,20,53,1576,1629,183,203
1,2550x3300,notice.,word,23,72,1636,1708,180,203
1,2550x3300,the,word,20,34,1719,1753,183,203
1,2550x3300,station,word,20,73,1761,1834,183,203
1,2550x3300,may,word,19,47,1843,1890,179,198
1,2550x3300,utilize,word,18,63,1897,1960,185,203
1,2550x3300,various,word,19,79,1968,2047,185,204
1,2550x3300,mediums,word,19,98,2056,2154,185,204
1,2550x3300,beyond,word,22,81,2161,2242,182,204
1,2550x3300,the,word,18,34,2250,2284,186,204
1,2550x3300,television,word,20,103,2292,2395,186,206
1,2550x3300,broadcast,word,20,110,1057,1167,153,173
1,2550x3300,to,word,20,21,1174,1195,153,173
1,2550x3300,reach,word,20,61,1203,1264,153,173
1,2550x3300,its,word,18,24,1273,1297,155,173
